Name,Teff,e_Teff,R*,e_R*,log(g),e_log(g),[Fe/H],e_[Fe/H],M*,e_M*,logA,e_logA,plx,Vmag,Notes,Source,RA,Dec
HD 161479,5642,60,1.15,0.12,4.31,0.05,0.28,0.05,1.03,0.06,9.86,0.17,20.4,8.1,A1,Yee,266.26219833333334,19.290458055555558
HD 162232,5492,60,1.03,0.1,4.36,0.05,0.14,0.05,0.92,0.04,10.04,0.16,13.4,8.6,A2,Yee,267.48773124999997,0.5120288888888889
HD 164922,5341,60,0.95,0.08,4.39,0.05,0.15,0.05,0.88,0.04,10.07,0.18,45.4,7.0,A1,Yee,270.62859291666666,26.31300138888889
HD 168443,5551,60,1.48,0.18,4.07,0.05,0.04,0.05,0.98,0.06,10.05,0.1,26.4,6.9,A2,Yee,275.0163883333333,-9.595726111111112
HD 170657,5041,60,0.76,0.04,4.54,0.05,-0.12,0.05,0.79,0.04,9.81,0.5,76.2,6.8,A1,Yee,277.8290041666666,-18.90881361111111
HD 17156,5970,60,1.51,0.18,4.15,0.05,0.22,0.05,1.19,0.09,9.67,0.11,30.3,8.2,A1,Yee,42.435362916666655,71.75323027777777
HD 172051,5636,60,0.83,0.04,4.58,0.05,-0.26,0.05,0.89,0.04,9.34,0.37,77.0,5.9,A2,Yee,279.7225041666666,-21.051875
HD 175425,5773,60,1.27,0.13,4.23,0.05,0.12,0.05,1.03,0.05,9.9,0.11,13.2,7.9,A1,Yee,283.408805,37.98524527777778
HD 17620,5159,60,3.04,0.4,3.46,0.05,-0.08,0.05,0.96,0.15,10.03,0.2,7.3,8.2,A1,Yee,42.23243124999999,-24.609796944444447
HD 179079,5646,60,1.7,0.22,4.02,0.05,0.23,0.05,1.12,0.11,9.87,0.15,14.1,8.0,A1,Yee,287.7909520833333,-2.6383855555555553
HD 181234,5314,60,1.04,0.1,4.35,0.05,0.35,0.05,0.92,0.04,10.08,0.14,20.8,8.6,A1,Yee,290.0004058333333,-9.323597777777778
HD 18143,5101,60,0.88,0.06,4.43,0.05,0.27,0.05,0.86,0.04,10.06,0.29,44.3,7.6,A1,Yee,43.912747499999995,26.873215000000002
HD 18445,4838,60,0.76,0.03,4.44,0.05,-0.04,0.05,0.76,0.03,10.09,0.3,38.9,7.9,A2,Yee,44.30495,-24.975115
HD 18742,4941,60,5.05,0.81,3.09,0.05,-0.02,0.05,1.2,0.26,9.75,0.3,6.2,7.8,A1,Yee,45.044401666666666,-20.802604722222224
HD 189733,5024,60,0.79,0.04,4.51,0.05,0.07,0.05,0.82,0.04,9.89,0.49,50.4,7.6,A1,Yee,300.1821370833333,22.710853611111112
HD 190228,5238,60,2.15,0.23,3.72,0.05,-0.22,0.05,0.9,0.05,10.08,0.08,15.8,7.3,A1,Yee,300.75321916666667,28.3068575
HD 190571,4999,60,3.6,0.39,3.31,0.05,-0.22,0.05,0.92,0.05,10.08,0.1,9.8,7.5,A1,Yee,301.0981958333333,33.55049444444444
HD 193690,5542,60,0.98,0.09,4.41,0.05,0.2,0.05,0.96,0.05,9.83,0.37,14.3,9.4,A1,Yee,305.63059749999996,-26.159888055555555
HD 195034,5810,60,0.96,0.06,4.48,0.05,-0.0,0.05,1.02,0.04,9.39,0.35,35.7,7.1,A1,Yee,307.04923083333324,22.128991944444444
HD 196124,4833,60,0.74,0.03,4.5,0.05,-0.06,0.05,0.76,0.04,9.98,0.47,33.3,8.9,A1,Yee,308.8029366666666,6.127009999999999
HD 199255,5027,60,3.74,0.57,3.29,0.05,-0.05,0.05,0.97,0.21,10.02,0.28,8.5,7.3,A2,Yee,313.9460625,7.666252500000001
HD 199381,4844,60,4.61,0.62,3.19,0.05,0.17,0.05,1.21,0.18,9.78,0.21,13.6,6.9,A1,Yee,314.19771166666663,1.7151822222222222
HD 200964,4983,60,4.05,0.59,3.22,0.05,-0.07,0.05,0.96,0.2,10.03,0.27,13.9,6.5,A1,Yee,316.66600916666664,3.803118333333333
HD 201924,5401,60,0.89,0.07,4.47,0.05,0.05,0.05,0.9,0.04,9.84,0.45,31.9,7.8,A1,Yee,317.79522541666665,45.455915277777784
